dataset	sample	bam	bai	outdir
Arabidopsis_thaliana	ERR1830498	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR1830498.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR1830498.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	ERR1830499	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR1830499.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR1830499.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	ERR1830500	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR1830500.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR1830500.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	ERR1830501	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR1830501.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR1830501.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	ERR6326000	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR6326000.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR6326000.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	ERR6326075	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR6326075.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR6326075.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	ERR6326076	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR6326076.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR6326076.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	ERR6326077	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR6326077.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR6326077.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	ERR6559223	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR6559223.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR6559223.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	ERR9968613	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR9968613.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR9968613.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	ERR9968689	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR9968689.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR9968689.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	ERR9968690	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR9968690.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR9968690.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	ERR9968691	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR9968691.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR9968691.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	ERR9968692	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR9968692.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR9968692.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	ERR9968693	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR9968693.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/ERR9968693.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	SRR10163228	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163228.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163228.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	SRR10163229	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163229.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163229.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	SRR10163230	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163230.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163230.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	SRR10163231	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163231.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163231.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	SRR10163232	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163232.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163232.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	SRR10163233	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163233.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163233.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	SRR10163234	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163234.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163234.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	SRR10163235	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163235.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163235.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	SRR10163236	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163236.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163236.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	SRR10163237	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163237.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163237.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	SRR10163238	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163238.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163238.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	SRR10163239	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163239.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR10163239.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	SRR24335743	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR24335743.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR24335743.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	SRR24335744	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR24335744.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR24335744.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	SRR24335745	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR24335745.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR24335745.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	SRR24335746	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR24335746.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR24335746.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	SRR24335747	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR24335747.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR24335747.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	SRR24335748	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR24335748.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR24335748.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
Arabidopsis_thaliana	SRR24335752	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR24335752.md.bam	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/markduplicates/bam/SRR24335752.md.bam.bai	/data1/users/siyangming/PlanteccDNADB/eccDNA_results/Arabidopsis_thaliana/circlefinder
